?p	?t	?prec	?cal	?place	?placeLabel	?coord
<http://www.wikidata.org/entity/Q7286>	1749-09-10T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q208794>	"Lunéville"@en	POINT(6.501667 48.589444)
<http://www.wikidata.org/entity/Q868>	-0321-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q21235810>	"Chalcis"@en	POINT(23.621940 38.457139)
<http://www.wikidata.org/entity/Q868>	-0321-03-02T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q21235810>	"Chalcis"@en	POINT(23.621940 38.457139)
<http://www.wikidata.org/entity/Q868>	-0321-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q21235810>	"Chalcis"@en	POINT(23.597100 38.462400)
<http://www.wikidata.org/entity/Q868>	-0321-03-02T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q21235810>	"Chalcis"@en	POINT(23.597100 38.462400)
<http://www.wikidata.org/entity/Q76323>	1930-11-01T00:00:00Z	10	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q223>	"Greenland"@en	POINT(-40.000000 72.000000)
<http://www.wikidata.org/entity/Q192927>	1797-03-26T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q23436>	"Edinburgh"@en	POINT(-3.189167 55.953333)
<http://www.wikidata.org/entity/Q125249>	1910-08-26T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q2430064>	"Tamworth"@en	POINT(-71.262778 43.859444)
<http://www.wikidata.org/entity/Q84296>	1906-09-05T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q2477512>	"Duino"@en	POINT(13.600000 45.766667)
<http://www.wikidata.org/entity/Q84296>	1906-09-06T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q2477512>	"Duino"@en	POINT(13.600000 45.766667)
<http://www.wikidata.org/entity/Q76420>	1918-01-06T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q2814>	"Halle (Saale)"@en	POINT(11.969722 51.482778)
<http://www.wikidata.org/entity/Q935>	1727-03-31T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q288781>	"Kensington"@en	POINT(-0.190900 51.500400)
<http://www.wikidata.org/entity/Q935>	1727-03-31T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q288781>	"Kensington"@en	POINT(-0.190900 51.500400)
<http://www.wikidata.org/entity/Q935>	1727-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q288781>	"Kensington"@en	POINT(-0.190900 51.500400)
<http://www.wikidata.org/entity/Q8963>	1630-11-15T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q2978>	"Regensburg"@en	POINT(12.083333 49.016667)
<http://www.wikidata.org/entity/Q41585>	1943-02-14T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q3033>	"Göttingen"@en	POINT(9.935555 51.533889)
<http://www.wikidata.org/entity/Q6722>	1855-02-23T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q3033>	"Göttingen"@en	POINT(9.935555 51.533889)
<http://www.wikidata.org/entity/Q88419>	2014-07-20T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q3255>	"Usedom"@en	POINT(14.083333 53.933333)
<http://www.wikidata.org/entity/Q151564>	2013-11-19T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q350>	"Cambridge"@en	POINT(0.122500 52.208055)
<http://www.wikidata.org/entity/Q9095>	1879-11-05T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q350>	"Cambridge"@en	POINT(0.122500 52.208055)
<http://www.wikidata.org/entity/Q47480>	1984-10-20T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q37043>	"Tallahassee"@en	POINT(-84.280556 30.438333)
<http://www.wikidata.org/entity/Q89054>	1958-12-12T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q3711>	"Belgrade"@en	POINT(20.456944 44.817778)
<http://www.wikidata.org/entity/Q11359>	0550-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q389755>	"Pataliputra"@en	POINT(85.144000 25.611000)
<http://www.wikidata.org/entity/Q42299>	1866-07-20T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q3954709>	"Selasca"@en	POINT(8.591667 45.943333)
<http://www.wikidata.org/entity/Q84989>	2018-08-04T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q4105>	"Meerbusch"@en	POINT(6.666667 51.266667)
<http://www.wikidata.org/entity/Q8739>	-0210-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q4420718>	"Syracuse"@en	POINT(15.283333 37.083333)
<http://www.wikidata.org/entity/Q8739>	-0211-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q4420718>	"Syracuse"@en	POINT(15.283333 37.083333)
<http://www.wikidata.org/entity/Q8739>	-0211-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q4420718>	"Syracuse"@en	POINT(15.283333 37.083333)
<http://www.wikidata.org/entity/Q8739>	-0211-01-01T00:00:00Z	8	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q4420718>	"Syracuse"@en	POINT(15.283333 37.083333)
<http://www.wikidata.org/entity/Q8739>	-0210-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q4420718>	"Syracuse"@en	POINT(15.283333 37.083333)
<http://www.wikidata.org/entity/Q8739>	-0211-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q4420718>	"Syracuse"@en	POINT(15.283333 37.083333)
<http://www.wikidata.org/entity/Q8739>	-0211-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q4420718>	"Syracuse"@en	POINT(15.283333 37.083333)
<http://www.wikidata.org/entity/Q8739>	-0211-01-01T00:00:00Z	8	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q4420718>	"Syracuse"@en	POINT(15.283333 37.083333)
<http://www.wikidata.org/entity/Q92844>	1980-11-17T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q49111>	"Cambridge"@en	POINT(-71.106111 42.375000)
<http://www.wikidata.org/entity/Q234583>	2011-11-22T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q49164>	"Amherst"@en	POINT(-72.516667 42.366667)
<http://www.wikidata.org/entity/Q619>	1543-06-03T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q497115>	"Frombork"@en	POINT(19.683333 54.358333)
<http://www.wikidata.org/entity/Q619>	1543-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q497115>	"Frombork"@en	POINT(19.683333 54.358333)
<http://www.wikidata.org/entity/Q7474>	1958-04-16T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q50575536>	"Royal Marsden Hospital"@en	POINT(-0.172583 51.491278)
<http://www.wikidata.org/entity/Q92760>	2001-02-24T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q54145>	"Medford"@en	POINT(-71.106667 42.418333)
<http://www.wikidata.org/entity/Q60028>	1925-07-26T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q552679>	"Bad Kleinen"@en	POINT(11.466667 53.766667)
<http://www.wikidata.org/entity/Q70991>	1179-09-24T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q557972>	"Kloster Rupertsberg"@en	POINT(7.889200 49.965800)
<http://www.wikidata.org/entity/Q113953939>	1893-12-31T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q576671>	"Highland Park"@en	POINT(-87.806944 42.182500)
<http://www.wikidata.org/entity/Q92741>	1995-08-11T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q579848>	"Hudson"@en	POINT(-81.440784 41.239840)
<http://www.wikidata.org/entity/Q17455>	1957-02-08T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q61>	"Washington, D.C."@en	POINT(-77.036667 38.895000)
<http://www.wikidata.org/entity/Q153224>	1987-10-20T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q649>	"Moscow"@en	POINT(37.617500 55.750556)
<http://www.wikidata.org/entity/Q4494454>	2024-01-05T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q656>	"Saint Petersburg"@en	POINT(30.316667 59.950000)
<http://www.wikidata.org/entity/Q9106>	1907-02-02T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q656>	"Saint Petersburg"@en	POINT(30.316667 59.950000)
<http://www.wikidata.org/entity/Q9106>	1907-02-02T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q656>	"Saint Petersburg"@en	POINT(30.316667 59.950000)
<http://www.wikidata.org/entity/Q2158400>	2008-05-14T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q6694215>	"Lowville"@en	POINT(-75.492222 43.786667)
<http://www.wikidata.org/entity/Q909>	1986-06-14T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q71>	"Geneva"@en	POINT(6.150000 46.200000)
<http://www.wikidata.org/entity/Q5586>	1849-05-10T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q720644>	"Asakusa"@en	POINT(139.796517 35.714922)
<http://www.wikidata.org/entity/Q8013739>	1818-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q743535>	"Chelsea"@en	POINT(-0.168400 51.487500)
<http://www.wikidata.org/entity/Q180468>	1986-10-22T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q747172>	"Woods Hole"@en	POINT(-70.663100 41.526700)
<http://www.wikidata.org/entity/Q180468>	1986-10-21T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q747172>	"Woods Hole"@en	POINT(-70.663100 41.526700)
<http://www.wikidata.org/entity/Q259378>	1956-09-06T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q84>	"London"@en	POINT(-0.127500 51.507222)
<http://www.wikidata.org/entity/Q5333>	1875-02-22T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q84>	"London"@en	POINT(-0.127500 51.507222)
<http://www.wikidata.org/entity/Q11104>	1039-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q85>	"Cairo"@en	POINT(31.235833 30.044444)
<http://www.wikidata.org/entity/Q11104>	1049-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q85>	"Cairo"@en	POINT(31.235833 30.044444)
<http://www.wikidata.org/entity/Q11104>	1041-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q85>	"Cairo"@en	POINT(31.235833 30.044444)
<http://www.wikidata.org/entity/Q11104>	1040-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q85>	"Cairo"@en	POINT(31.235833 30.044444)
<http://www.wikidata.org/entity/Q11104>	1038-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q85>	"Cairo"@en	POINT(31.235833 30.044444)
<http://www.wikidata.org/entity/Q11104>	1040-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q85>	"Cairo"@en	POINT(31.235833 30.044444)
<http://www.wikidata.org/entity/Q11104>	1039-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q85>	"Cairo"@en	POINT(31.235833 30.044444)
<http://www.wikidata.org/entity/Q127398>	1204-12-20T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q85>	"Cairo"@en	POINT(31.235833 30.044444)
<http://www.wikidata.org/entity/Q43027>	1953-09-28T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q850869>	"San Marino"@en	POINT(-118.113055 34.122778)
<http://www.wikidata.org/entity/Q8018>	0430-08-29T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q858024>	"Hippo Regius"@en	POINT(7.750000 36.882500)
<http://www.wikidata.org/entity/Q8018>	0430-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q858024>	"Hippo Regius"@en	POINT(7.750000 36.882500)
<http://www.wikidata.org/entity/Q8018>	0430-08-29T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q858024>	"Hippo Regius"@en	POINT(7.755129 36.883651)
<http://www.wikidata.org/entity/Q8018>	0430-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q858024>	"Hippo Regius"@en	POINT(7.755129 36.883651)
<http://www.wikidata.org/entity/Q48983>	1994-08-19T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q859413>	"Big Sur"@en	POINT(-121.625833 36.107500)
<http://www.wikidata.org/entity/Q140188>	-0229-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q87>	"Alexandria"@en	POINT(29.892500 31.197500)
<http://www.wikidata.org/entity/Q34943>	0170-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q87>	"Alexandria"@en	POINT(29.892500 31.197500)
<http://www.wikidata.org/entity/Q34943>	0165-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q87>	"Alexandria"@en	POINT(29.892500 31.197500)
<http://www.wikidata.org/entity/Q260>	1832-03-04T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q90>	"Paris"@en	POINT(2.352222 48.856667)
<http://www.wikidata.org/entity/Q7091>	1832-05-31T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q90>	"Paris"@en	POINT(2.352222 48.856667)
<http://www.wikidata.org/entity/Q16085947>	2019-11-10T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q99>	"California"@en	POINT(-120.000000 37.000000)
<http://www.wikidata.org/entity/Q7099>	1935-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q995267>	"Bryn Mawr"@en	POINT(-75.316900 40.021100)
<http://www.wikidata.org/entity/Q7099>	1935-04-14T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q995267>	"Bryn Mawr"@en	POINT(-75.316900 40.021100)
<http://www.wikidata.org/entity/Q1585921>	1973-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985727>			
<http://www.wikidata.org/entity/Q1585921>	1973-02-17T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>			
<http://www.wikidata.org/entity/Q19325102>	1798-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985727>			
<http://www.wikidata.org/entity/Q20734645>	1905-10-19T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>			
<http://www.wikidata.org/entity/Q20734646>	1908-07-23T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>			
<http://www.wikidata.org/entity/Q20734647>	1907-10-26T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>			
<http://www.wikidata.org/entity/Q21554518>	1730-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985727>			
<http://www.wikidata.org/entity/Q6219218>	2018-02-06T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>			
<http://www.wikidata.org/entity/Q75577060>	1831-02-23T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>			
<http://www.wikidata.org/entity/Q76104084>	1841-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985727>			
<http://www.wikidata.org/entity/Q9333>	-0500-01-01T00:00:00Z	6	<http://www.wikidata.org/entity/Q1985786>			
<http://www.wikidata.org/entity/Q96415139>	1896-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985727>			
